,years,spot_savings,peak_earnings,precharging,fcas,network_support
0,2016,83.75,134.35154583333332,69.83776124999999,198.121455,50
1,2017,83.75,256.94399771825397,44.722530000000006,439.4382825,50
2,2018,83.75,15.621037499999998,33.746017499999994,727.2744324999999,50
3,2019,83.75,7.011125,33.36413625,279.743975,50
4,2020,83.75,29.019825,60.13770749999999,626.6365175,50
