,years,spot_savings,peak_earnings,precharging,fcas,network_support
0,2016,167.875,31.3945,64.43374499999997,191.53887375000005,50
1,2017,167.875,94.2167,37.5732675,414.72423999999995,50
2,2018,167.875,15.279587500000002,45.423213749999995,517.7408862500001,50
3,2019,167.875,15.280225,54.89056125,259.43823499999996,50
4,2020,167.875,186.31643000000003,46.2367575,525.05091625,50
