,years,spot_savings,peak_earnings,precharging,fcas,network_support,network_data
0,2016,170.25,30.791512500000003,102.220515,191.53887375000005,50,10
1,2017,170.25,5.042350000000001,87.37621874999996,414.72423999999995,50,10
2,2018,170.25,90.48939083333333,122.63545125000006,517.7408862500001,50,10
3,2019,170.25,153.72292083333335,153.83455875,260.32295624999995,50,10
4,2020,170.25,94.51080416666666,103.26879000000001,429.882285,50,10
