,years,spot_savings,peak_earnings,precharging,fcas,network_support,network_data
0,2016,177.0,226.65393107769418,134.26715250000004,203.7243075,50,10
1,2017,177.0,139.3492589285714,94.1220675,420.96841499999994,50,10
2,2018,177.0,155.073708234127,115.51234499999995,537.1161075000001,50,10
3,2019,177.0,177.43406726190474,144.44136,553.065275,50,10
4,2020,177.0,77.514905,93.08719125,796.03402375,50,10
